TABLENAME,COLUMNNAME,FLDNAME,LKP_TABLE,LKP_COLUMN,LKP_DISPLAY_COLUMN
DELIVERY,S_DPSRC2,Down Payment Src 2,L_SYMBOL,Down Payment Src 2,ALIAS
DELIVERY,S_DPSRC3,Down Payment Src 3,L_SYMBOL,Down Payment Src 3,ALIAS
DELIVERY,S_DPSRC4,Down Payment Src 4,L_SYMBOL,Down Payment Src 4,ALIAS
DELIVERY,S_FNM_HOME_IMP_PROD,FNM Home Imp Prod,L_SYMBOL,FNM Home Imp Prod,ALIAS
DELIVERY,S_INT_ACCRUAL_TYPE,InterestAccrualType,L_SYMBOL,InterestAccrualType,ALIAS
DELIVERY,S_INT_CALC_BASIS_TYPE,Int Calc Basis Type,L_SYMBOL,Int Calc Basis Type,ALIAS
DELIVERY,S_INT_CALC_METHOD,Interest Calc Type,L_SYMBOL,Interest Calc Type,ALIAS
DELIVERY,S_INT_CALC_PERIOD,Int Calc Period,L_SYMBOL,Int Calc Period,ALIAS
DELIVERY,S_LFC,Loan Feature Code,L_SYMBOL,Loan Feature Code,ALIAS
DELIVERY,S_SFSRC1,Secondary Fin 1,L_SYMBOL,Secondary Fin 1,ALIAS
DELIVERY,S_SFSRC2,Secondary Fin 2,L_SYMBOL,Secondary Fin 2,ALIAS
DELIVERY,S_SIGNDOCPUSHBACK,SignDocPushBack,L_SYMBOL,SignDocPushBack,ALIAS
DELIVERY,S_SPF1,Spec. Feature Code 1,L_SYMBOL,Spec. Feature Code 1,ALIAS
DELIVERY,S_SPF10,Spec. Feature Code10,L_SYMBOL,Spec. Feature Code10,ALIAS
DELIVERY,S_SPF2,Spec. Feature Code 2,L_SYMBOL,Spec. Feature Code 2,ALIAS
DELIVERY,S_SPF3,Spec. Feature Code 3,L_SYMBOL,Spec. Feature Code 3,ALIAS
DELIVERY,S_SPF4,Spec. Feature Code 4,L_SYMBOL,Spec. Feature Code 4,ALIAS
DELIVERY,S_SPF5,Spec. Feature Code 5,L_SYMBOL,Spec. Feature Code 5,ALIAS
DELIVERY,S_SPF6,Spec. Feature Code 6,L_SYMBOL,Spec. Feature Code 6,ALIAS
DELIVERY,S_SPF7,Spec. Feature Code 7,L_SYMBOL,Spec. Feature Code 7,ALIAS
DELIVERY,S_SPF8,Spec. Feature Code 8,L_SYMBOL,Spec. Feature Code 8,ALIAS
DELIVERY,S_SPF9,Spec. Feature Code 9,L_SYMBOL,Spec. Feature Code 9,ALIAS
DOWNPYMT,S_DOWN_PMT_SRC_OTH,Downpaymt Src Oth,L_SYMBOL,Downpaymt Src Oth,ALIAS
DOWNPYMT,S_DOWN_PMT_SRC_TYP,Down Pymt Source Typ,L_SYMBOL,Down Pymt Source Typ,ALIAS
DOWNPYMT,S_DOWN_PMT_TYP,Down Pymt Typ,L_SYMBOL,Down Pymt Typ,ALIAS
DOWNPYMT,S_TYPE,Downpaymt Type,L_SYMBOL,Downpaymt Type,ALIAS
DOWNPYMT,S_TYPE_OTH,Downpaymt Type Oth,L_SYMBOL,Downpaymt Type Oth,ALIAS
DTLTRAN,S_PURCH_CREDIT_TYPE,Purchase Credit Type,L_SYMBOL,Purchase Credit Type,ALIAS
DTLTRAN,S_PURCH_SOURCE_TYPE,Purchase Source Type,L_SYMBOL,Purchase Source Type,ALIAS
DTLTRAN,S_TRAN,Credit Types,L_SYMBOL,Credit Types,ALIAS
DU4LOAN,AGENCYSPLPRODUCTS,Agency SPL Products,L_SYMBOL,Agency SPL Products,ALIAS
DU4LOAN,S_ACT_EST_INDICATOR,Act vs Est Ind,L_SYMBOL,Act vs Est Ind,ALIAS
DU4LOAN,S_ARMNUM,FNMA ARM Plan Num,L_SYMBOL,FNMA ARM Plan Num,ALIAS
DU4LOAN,S_CRAGENCY,DU4 Credit Agency,L_SYMBOL,DU4 Credit Agency,ALIAS
DU4LOAN,S_INDEXTYPE,DU4 Index Type,L_SYMBOL,DU4 Index Type,ALIAS
EIS_MTM_PRICINGDATA,PRODUCT,Product,L_SYMBOL,Product,ALIAS
ESCROWHB,S_TYPE,Escrow HB Type,L_SYMBOL,Escrow HB Type,ALIAS
FEEVALS,S_AGGTYPE,Fee Aggregation Type,L_SYMBOL,Fee Aggregation Type,ALIAS
FEEVALS,S_CHANGE_TYPE,Fee Change Type,L_SYMBOL,Fee Change Type,ALIAS
FEEVALS,S_PAIDBY,Fee Paid By Type,L_SYMBOL,Fee Paid By Type,ALIAS
FEEVALS,S_PAIDTO,Fee Paid To Type,L_SYMBOL,Fee Paid To Type,ALIAS
FEEVALS,S_PERIOD,Escrow Period,L_SYMBOL,Escrow Period,ALIAS
FEEVALS,S_RESP_PARTY,Fee Resp Party,L_SYMBOL,Fee Resp Party,ALIAS
FEEVALS,S_SECTION_TYPE,Fee ID Section Type,L_SYMBOL,Fee ID Section Type,ALIAS
FEEVALS,S_TOLERANCE_CATEGORY,FeeToleranceCategory,L_SYMBOL,FeeToleranceCategory,ALIAS
FLOOD,S_FLDZON,Flood Map Zone,L_SYMBOL,Flood Map Zone,ALIAS
FRMDOCS,S_CATEGORY,Document Category,L_SYMBOL,Document Category,ALIAS
FRMDOCS,S_SIGTYPE,Doc Signature Type,L_SYMBOL,Doc Signature Type,ALIAS
GF_REFIINFO,S_ORIG_LOAN_PURP,Refi Loan Purpose,L_SYMBOL,Refi Loan Purpose,ALIAS
GF_REFIINFO,S_ORIG_LOAN_TYPE,Refi Loan Type,L_SYMBOL,Refi Loan Type,ALIAS
GF_TL_1008INFO,S_MTG_ORIG,Mtg Org Type,L_SYMBOL,Mtg Org Type,ALIAS
