Table Name,Column Name,Column Datatype,Column Null Option,Primary Key,Restricted,PII,NoData
CommonMonthly,ModificationBalance,int,NULL,,,,
CommonMonthly,PreModificationPayment,int,NULL,,,,
CommonMonthly,PostModificationPayment,int,NULL,,,,
CommonMonthly,RateIndexDescription,int,NULL,,,,
CommonMonthly,FirstResetFrequency,int,NULL,,,,
CommonMonthly,SubsequentResetFrequency,int,NULL,,,,
CommonMonthly,InterestGrossMargin,"decimal(16,6)",NULL,,,,
CommonMonthly,CapLifetimeInterestRate,"decimal(16,6)",NULL,,,,
CommonMonthly,FloorLifetimeInterestRate,"decimal(16,6)",NULL,,,,
CommonMonthly,FirstCapInterestRate,"decimal(16,6)",NULL,,,,
CommonMonthly,SubsequentCapInterestRate,"decimal(16,6)",NULL,,,,
CommonMonthly,FirstFloorInterestRate,"decimal(16,6)",NULL,,,,
CommonMonthly,SubsequentFloorInterestRate,"decimal(16,6)",NULL,,,,
CommonMonthly,FirstRateAdjustDate,int,NULL,,,,
CommonMonthly,NextRateAdjustDate,int,NULL,,,,
CommonMonthly,NegativeAmortizationFlag,nchar(1),NULL,,,,
CommonMonthly,NegativeAmoritzationCap,int,NULL,,,,
CommonMonthly,OptionARMCode,nchar(1),NULL,,,,
CommonMonthly,InterestNetMargin,int,NULL,,,,
CommonMonthly,ARMInitialRate,"decimal(16,6)",NULL,,,,
CommonMonthly,FirstPaymentAdjustDate,int,NULL,,,,
CommonMonthly,NextPaymentAdjustDate,int,NULL,,,,
CommonMonthly,OrigMortgageInsuranceCoverage,int,NULL,,,,
CommonMonthly,MortgageInsuranceCompany,int,NULL,,,,
CommonMonthly,OriginalCreditLimit,int,NULL,,,,
CommonMonthly,CreditClosedFlag,nchar(1),NULL,,,,
CommonMonthly,CreditFrozenFlag,int,NULL,,,,
CommonMonthly,CreditLimitChangeAction,int,NULL,,,,
CommonMonthly,DrawPeriod,int,NULL,,,,
CommonMonthly,RepayPeriod,int,NULL,,,,
CommonMonthly,HomeEquityType,int,NULL,,,,
CommonMonthly,LineChangedDate,int,NULL,,,,
CommonMonthly,LineClosedDate,int,NULL,,,,
CommonMonthly,BusinessAccountFlag,nvarchar(100),NULL,,,,
CommonMonthly,CurrentPartyID,int,NULL,,,,
CommonMonthly,AmortizationType,nvarchar(100),NULL,,,,
CommonMonthly,BackEndLoanToValue,"decimal(16,6)",NULL,,,,
CommonMonthly,BorrowerAge,int,NULL,,,,
CommonMonthly,OriginalCoBorrowerCreditScore,int,NULL,,,,
CommonMonthly,CoBorrowerFlag,nchar(1),NULL,,,,
CommonMonthly,CoBorrowerOccupation,nvarchar(100),NULL,,,,
CommonMonthly,VehicleMake,nvarchar(100),NULL,,,,
CommonMonthly,VehicleModel,nvarchar(100),NULL,,,,
CommonMonthly,CollateralTypeDescription,nvarchar(100),NULL,,,,
CommonMonthly,CollateralYear,int,NULL,,,,
CommonMonthly,CollateralStateCode,nvarchar(100),NULL,,,Yes,
CommonMonthly,CollateralZipCode,nvarchar(100),NULL,,,Yes,
CommonMonthly,ContractResidualValue,int,NULL,,,,
CommonMonthly,CreditImpairedFlag,int,NULL,,,,
CommonMonthly,CurrentCollateralValue,"decimal(16,6)",NULL,,,,
CommonMonthly,CurrentCreditGrade,nchar(1),NULL,,,,
CommonMonthly,CurrentPaymentandInterestAMT,"decimal(16,6)",NULL,,,,
CommonMonthly,ClosedDate,int,NULL,,,,
CommonMonthly,DealerName,int,NULL,,,,
CommonMonthly,DefaultDate,int,NULL,,,,
CommonMonthly,EstimatedResidualValue,int,NULL,,,,
CommonMonthly,UsedAutoFlag,nchar(1),NULL,,,,
CommonMonthly,FrontEndLoanToValue,"decimal(16,6)",NULL,,,,
CommonMonthly,InstrumentIdentifier,bigint,NULL,,,,
CommonMonthly,InterestAccrualBasis,nvarchar(100),NULL,,,,
CommonMonthly,LastLimitChangeDate,int,NULL,,,,
CommonMonthly,LeaseFactor,int,NULL,,,,
CommonMonthly,Channel,nvarchar(100),NULL,,,,
CommonMonthly,OriginalCollateralValue,int,NULL,,,,
CommonMonthly,OriginalCreditGrade,nchar(1),NULL,,,,
CommonMonthly,PaymentFrequency,nvarchar(100),NULL,,,,
CommonMonthly,PaymentToIncomeRatio,"decimal(16,6)",NULL,,,,
CommonMonthly,RecourseFlag,nchar(1),NULL,,,,
CommonMonthly,Servicer,nvarchar(100),NULL,,,,
CommonMonthly,VehicleManufacturer,nvarchar(100),NULL,,,,
CommonMonthly,VehicleIdentificationNumber,nvarchar(100),NULL,,,Yes,
