TABLENAME,COLUMNNAME,LKP_TABLE,LKP_COLUMN,LKP_DISPLAY_COLUMN
DELIVERY,S_SIGNDOCPUSHBACK,L_SYMBOL,SignDocPushBack,ALIAS
DELIVERY,S_SPF1,L_SYMBOL,Spec. Feature Code 1,ALIAS
DELIVERY,S_SPF10,L_SYMBOL,Spec. Feature Code10,ALIAS
DELIVERY,S_SPF2,L_SYMBOL,Spec. Feature Code 2,ALIAS
DELIVERY,S_SPF3,L_SYMBOL,Spec. Feature Code 3,ALIAS
DELIVERY,S_SPF4,L_SYMBOL,Spec. Feature Code 4,ALIAS
DELIVERY,S_SPF5,L_SYMBOL,Spec. Feature Code 5,ALIAS
DELIVERY,S_SPF6,L_SYMBOL,Spec. Feature Code 6,ALIAS
DELIVERY,S_SPF7,L_SYMBOL,Spec. Feature Code 7,ALIAS
DELIVERY,S_SPF8,L_SYMBOL,Spec. Feature Code 8,ALIAS
DELIVERY,S_SPF9,L_SYMBOL,Spec. Feature Code 9,ALIAS
DOWNPYMT,S_DOWN_PMT_SRC,L_SYMBOL,Down Payment Src 1,ALIAS
DOWNPYMT,S_DOWN_PMT_SRC_OTH,L_SYMBOL,Downpaymt Src Oth,ALIAS
DOWNPYMT,S_DOWN_PMT_SRC_TYP,L_SYMBOL,Down Pymt Source Typ,ALIAS
DOWNPYMT,S_DOWN_PMT_TYP,L_SYMBOL,Down Pymt Typ,ALIAS
DOWNPYMT,S_TYPE,L_SYMBOL,Downpaymt Type,ALIAS
DOWNPYMT,S_TYPE_OTH,L_SYMBOL,Downpaymt Type Oth,ALIAS
DOWNPYMT,S_TYPENM,L_SYMBOL,Down Payment Type NM,ALIAS
DTLTRAN,S_PURCH_CREDIT_TYPE,L_SYMBOL,Purchase Credit Type,ALIAS
DTLTRAN,S_PURCH_SOURCE_TYPE,L_SYMBOL,Purchase Source Type,ALIAS
DTLTRAN,S_TRAN,L_SYMBOL,Credit Types,ALIAS
DU4LOAN,AGENCYSPLPRODUCTS,L_SYMBOL,Agency SPL Products,ALIAS
DU4LOAN,S_ACT_EST_INDICATOR,L_SYMBOL,Act vs Est Ind,ALIAS
DU4LOAN,S_ARMNUM,L_SYMBOL,FNMA ARM Plan Num,ALIAS
DU4LOAN,S_CRAGENCY,L_SYMBOL,DU4 Credit Agency,ALIAS
DU4LOAN,S_INDEXTYPE,L_SYMBOL,DU4 Index Type,ALIAS
EIS_MTM_PRICINGDATA,PRODUCT,L_SYMBOL,Product,ALIAS
ESCROWHB,S_TYPE,L_SYMBOL,Escrow HB Type,ALIAS
FEEVALS,S_AGGTYPE,L_SYMBOL,Fee Aggregation Type,ALIAS
FEEVALS,S_CHANGE_TYPE,L_SYMBOL,Fee Change Type,ALIAS
FEEVALS,S_PAIDBY,L_SYMBOL,Fee Paid By Type,ALIAS
FEEVALS,S_PAIDTO,L_SYMBOL,Fee Paid To Type,ALIAS
FEEVALS,S_PERIOD,L_SYMBOL,Escrow Period,ALIAS
FEEVALS,S_RESP_PARTY,L_SYMBOL,Fee Resp Party,ALIAS
FEEVALS,S_SECTION_TYPE,L_SYMBOL,Fee ID Section Type,ALIAS
FEEVALS,S_TOLERANCE_CATEGORY,L_SYMBOL,FeeToleranceCategory,ALIAS
FLOOD,S_FIRM,L_SYMBOL,Flood Map Zone,ALIAS
FLOOD,S_FLDZON,L_SYMBOL,Flood Map Zone,ALIAS
FRMDOCS,S_CATEGORY,L_SYMBOL,Document Category,ALIAS
FRMDOCS,S_SIGTYPE,L_SYMBOL,Doc Signature Type,ALIAS
GF_REFIINFO,S_ORIG_LOAN_PURP,L_SYMBOL,Refi Loan Purpose,ALIAS
GF_REFIINFO,S_ORIG_LOAN_TYPE,L_SYMBOL,Refi Loan Type,ALIAS
GF_TL_1008INFO,S_MTG_ORIG,L_SYMBOL,Mtg Org Type,ALIAS
GF_TL_1008INFO,S_RISK_ASSESS,L_SYMBOL,Risk Assessment Type,ALIAS
